,Title,Rank,Score,Medium,Number of Episodes,Episode Length,Start Date,End Date,Premier Season,Source Material,Age Rating,Number of Members,URLS,Synopses,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Total Minutes,Synopsis Length
230,Haru no Shikumi,10731,4.56,Movie,1,"4 min.
 ",2010,2010,Unavailable,Original,G ,827,https://myanimelist.net/anime/28645/Haru_no_Shikumi,Short film by Atsushi Wada about Spring.,Dementia,,,,,,,,4,7
231,Isu,10732,4.55,Movie,1,"10 min.
 ",1964,1964,Unavailable,Unavailable,G ,670,https://myanimelist.net/anime/29293/Isu,What would you do if you were in a room with nothing to do for 15 minutes? This stop-motion animation depicts what people from different occupations would do with that time.,Dementia,,,,,,,,10,31
232,Kono Mayonnaise wa Yuru Sugiru,10733,4.55,Movie,1,"2 min.
 ",2002,2002,Unavailable,Original,G ,424,https://myanimelist.net/anime/30212/Kono_Mayonnaise_wa_Yuru_Sugiru,"Everything is liquid in this world, like the mayonnaise. (Source:",Dementia,,,,,,,,2,10
233,Memory of Red,10734,4.54,Movie,1,"3 min.
 ",2004,2004,Unavailable,Original,G ,711,https://myanimelist.net/anime/30859/Memory_of_Red,A short animation by Nobuhiro Aihara.,Dementia,,,,,,,,3,6
234,Generation of Chaos III: Toki no Fuuin,10735,4.53,OVA,2,24 min. per ep.,May 2003,Jun 2003,Unavailable,Game,Unavailable,1045,https://myanimelist.net/anime/2778/Generation_of_Chaos_III__Toki_no_Fuuin,"Fuujin Year 130 (Medieval times when magic and gods were of great importance). Two years ago, the great war in the ""Old Fuujin Continent"" was controlled by the ""Zenon Country"" who possessed great power. In Randia, a small country to the south, the young prince Alfred is attacked by an assassin but gets saved by his friend Welles. The young prince was the last key to the revival of Randia... It was said that in legends the prince had the power to unleash the ""Seal of Power"" because of his blood relation. This brought fear upon the Zenon country and thus their attack. Welles was just another soldier, but he was also a close friend of Alfred's and they had been fighting together in the battlefield for a long time. That is why they're known as the ""Galloping Winds"" on the battlefield. And so, the two of them along with Welles' younger sister Teefa, are burdened with the fight for their country. Hearing that war is once again about to break out, the former loyal subject Rea also returns. As more and more people get involved in the war, the mystery of the seal unfolds... To reveal the ""Blood Relation of the Prince""...",Action,Adventure,Fantasy,Magic,,,,,48,203
235,Makura no Danshi,10736,4.53,TV,12,4 min. per ep.,Jul 2015,Sep 2015,Summer,Original,PG-13,32342,https://myanimelist.net/anime/30705/Makura_no_Danshi,"Whispering sweet lullabies into the ears of the viewers, Makura no Danshi presents the watcher with an experience of comfort. Each short episode features a different boy who will listen to the audience and hold them when they need it. There are boys to suit all tastes: Merry is a gentle brown-haired boy; Sousuke Tanaka is a mature working man; Kanade Hanamine is a high school student who acts tough, but is frightened by mere spiders; Eiji Kijinami is a sore loser who looks like a punk, but has a tender heart; the shy Ryuushi Theodore Emori loves stargazing; Yuu Maiki is a freshman with delusions of grandeur; Haruto Enokawa is an energetic 5-year-old who refuses to sleep without a bedtime story; Nao Sasayama is a hip college student that is addicted to his smartphone; Shirusu Mochizuki is a librarian that treasures both books and book lovers; Yonaga and Yayoi Chigiri are siblings who are learning flower arrangement; and Yuuichirou Iida is a humorous old man who runs an oden stall. Though the watchers may be troubled with various issues in life, these boys will softly talk about themselves and coax the audience members into revealing their problems. All the boys have kind hearts and will make the viewers feel special and loved.",Slice of Life,,,,,,,,48,213
236,Nora,10737,4.52,OVA,1,"56 min.
 ",Jan 1985,Jan 1985,Unavailable,Manga,PG-13,1797,https://myanimelist.net/anime/2088/Nora,"Nora is on vacation in a ""Holiday Inn"" space station. When the artificial gravity fails, the whole space resort becomes chaotic but she helps solve the problem.",Sci-Fi,Adventure,Space,,,,,,56,27
237,Oh Yoko!,10738,4.52,Music,1,"4 min.
 ",1973,1973,Unavailable,Original,R,835,https://myanimelist.net/anime/29615/Oh_Yoko,"Made to accompany the song ‘Oh! Yoko!’ by John Lennon, the hand-drawn animation playfully appropriates and imagines moments in the lives of the celebrity couple, John Lennon and Yoko Ono, in pop caricature versions, with occasional appearances from Elvis Presley and the Yellow Submarine. The animation was aired on the late-night television program 11PM. (Source: Collaborative",Romance,Dementia,Music,,,,,,4,56
238,Ga no Iru Tokoro,10739,4.52,Movie,1,"5 min.
 ",2001,2001,Unavailable,Original,G ,780,https://myanimelist.net/anime/23051/Ga_no_Iru_Tokoro,"A Place Where There Are Moths depicts the conflict between drab concrete block apartment living and the natural environment in Japanese cities. The forces of nature are represented by the motif of a tree whose leaves metamorphose into orange moths and take over a middle-aged woman's apartment, pushing her room higher and higher within the building. (Source:",Dementia,,,,,,,,5,57
239,Golden Batman,10740,4.52,Movie,1,1 hr. 10 min.,1979,1979,Unavailable,Unavailable,G ,922,https://myanimelist.net/anime/16802/Golden_Batman,"Three kids find themselves in the middle of a nightmare, as the world is about to be taken over by the powers of evil.",Action,Kids,,,,,,,70,24
240,Kaitei no Boukun,10741,4.52,Movie,1,"1 min.
 ",1933,1933,Unavailable,Original,G ,775,https://myanimelist.net/anime/6851/Kaitei_no_Boukun,A monkey and tanuki go fishing in a frozen lake but the king catfish isn't pleased. Condensed version of Osaru no Tairyou.,Adventure,,,,,,,,1,22
241,2005-nen Uchuu no Tabi,10742,4.51,Special,1,"1 min.
 ",Dec 2005,Dec 2005,Unavailable,Original,G ,1947,https://myanimelist.net/anime/28339/2005-nen_Uchuu_no_Tabi,Experimental short film by Michio Mihara.,Space,Dementia,Sci-Fi,,,,,,1,6
242,Forest Fairy Five,10743,4.51,TV,13,10 min. per ep.,Jan 2017,Mar 2017,Winter,Picture book,PG ,2533,https://myanimelist.net/anime/34223/Forest_Fairy_Five,"A beautiful nation, prospering since ancient times, Japan is now known as the Anime Kingdom. There are more than just humans living there; animes truly do exist in Japan. Past the Fairy Ring, to the world of fairies, live anime-chans. There's a Fairy Ring in your town, too. Here. And there. Even in Harajuku. Maybe even in the Ashigara mountains. By some chance, we'll open that door. And we might get to meet the anime-chans. This is the land where you get to meet anime-chans.",Music,Comedy,Fantasy,,,,,,130,85
243,Glamorous Heroes,10744,4.51,TV,10,5 min. per ep.,Oct 2017,Dec 2017,Fall,Game,PG-13,3968,https://myanimelist.net/anime/36288/Glamorous_Heroes,A hot-blooded anime on the topic of e-sports based on the real Chinese online game 300 Da Zuozhan (300 Heroes). Former top professional gamer Aoba Kaito returns to the gaming circle to regain his professional qualification which was deprived due to a doping suspicion. He and his friends confront against the conspiracy and rise to the top of the leaderboards.,Action,Game,,,,,,,50,60
244,Onyankopon,10745,4.51,ONA,12,3 min. per ep.,Oct 2017,Dec 2017,Unavailable,Other,G ,1254,https://myanimelist.net/anime/35971/Onyankopon,"Onyankopon watched over people long ago, but one day an old woman accidentally hit Onyankopon in the head with a mallet while mashing yams. Since then, Onyankopon has been nervous about greeting people directly, and so sends subordinates to speak to them and solve their problems. He will use Afrobeat and dance to help Japanese high school girls with problems such as dieting, love, and cramming for exams.",Music,Comedy,School,,,,,,36,68
245,Shinsatsushitsu,10746,4.5,Movie,1,"8 min.
 ",2005,2005,Unavailable,Original,PG-13,1308,https://myanimelist.net/anime/23059/Shinsatsushitsu,"In Kei Oyama's grim Consultation Room, a medical diagnosis triggers a wave of traumatic fantasies, portrayed in greyish pencil drawings that waver as if left out for too long in the rain. (Source: Sydney",Dementia,Horror,,,,,,,8,34
246,Zonmi-chan: Halloween☆Special Movie!,10747,4.5,ONA,1,"52 sec.
 ",Oct 2015,Oct 2015,Unavailable,Original,PG-13,768,https://myanimelist.net/anime/33042/Zonmi-chan__Halloween☆Special_Movie,A Halloween special starring Zonmi-chan. A soldier is being chased by several Zonmi-chan zombies. He shoots at them but is ultimately caught.,Comedy,Horror,,,,,,,0,22
247,Chou Futsuu Toshi Kashiwa Densetsu R,10748,4.5,TV,10,5 min. per ep.,Jul 2020,Sep 2020,Summer,Other,Unavailable,3712,https://myanimelist.net/anime/40473/Chou_Futsuu_Toshi_Kashiwa_Densetsu_R,"A gag anime set in Kashiwa, featuring high school girls and mysterious creatures. (Source: Chou Futsuu Toshi Kashiwa",Comedy,Fantasy,,,,,,,50,18
248,A.F,10749,4.49,Special,1,"15 min.
 ",Sep 2002,Sep 2002,Unavailable,Original,R,1038,https://myanimelist.net/anime/4934/AF,"A 20 minutes 100% CG animation presented by ""buildup"", a company that brought many japanese CG movies such as Godzilla vs Biollante, Stray Dog - Kerberos Panzer Cops, Godzilla vs King Ghidora, Kappa, Gundam Mission To The Rise and D. The story takes place in the future, the year is 2124. A dangerous container is to be secretly loaded into medical transport ship which goes into the earth orbit because it's forbidden to store dangerous container on earth. It's so secret that no crew members on the ship were told about the container's contents or any possible hazzards. The truth is, the container carries a dangerous living body in some form like liquid / worm which is capable of reading DNA information of other living beings and then transforms itself as an exact copy. Of course, the original object then will be killed.",Action,Sci-Fi,Space,Mecha,,,,,15,143
249,Kyochuu Rettou,10750,4.49,OVA,1,"22 min.
 ",Jun 2019,Jun 2019,Unavailable,Manga,R,11432,https://myanimelist.net/anime/38915/Kyochuu_Rettou,"After an airplane crash during a school trip, Oribe Mutsumi and her classmates were stranded on a seemingly deserted island. Mutsumi found the other survivors, and used her wilderness knowledge to help them. She expects that they will be rescued in about three days, which doesn't seem so long to endure. However, she didn't account for the fact that the island is populated with gigantic killer insects. Her knowledge of butterflies, wasps, and more may be the only thing that will help any of her classmates survive to be rescued!",Horror,,,,,,,,22,90
250,Uju Heukgisa,10751,4.49,Movie,1,1 hr. 10 min.,Aug 1979,Aug 1979,Unavailable,Unavailable,PG ,714,https://myanimelist.net/anime/16822/Uju_Heukgisa,"There exists the Cosmos Warriors, a team tasked with the duty of protecting freedom, justice, and peace of the universe. When the Master of the Cosmos Warriors was killed onboard a traveling spaceship and the rest of the passengers were kidnapped by the sinister Green People, Captain Leo soon uncovers a malicious plan that would put the fate of the people of Earth on the balance.",Action,Sci-Fi,Space,,,,,,70,66
251,The Chocolate Panic Picture Show,10752,4.48,OVA,1,"25 min.
 ",Sep 1985,Sep 1985,Unavailable,Manga,R,2562,https://myanimelist.net/anime/5622/The_Chocolate_Panic_Picture_Show,"Gainax's first professional production, The Chocolate Panic Picture Show is a wacky musical OVA based on a manga by Fujiwara Kamui, serialised in Monthly Super Action and partly inspired by Jamie Uys's The Gods Must Be Crazy (1980). Follow Manbo, Chinbo and Chonbo as they are flung into a strange, psychedelic world of madness they don't understand. See them cause chaos through their zany, unpredictable antics in this comical take on cultural imperialism.",Dementia,Psychological,,,,,,,25,73
252,Akai Kutsu! Onnanoko!,10753,4.48,Movie,1,"16 sec.
 ",2009,2009,Unavailable,Unavailable,G ,472,https://myanimelist.net/anime/30396/Akai_Kutsu_Onnanoko,A short animation film by Taku Furukawa.,Dementia,,,,,,,,0,7
253,Cafe de Oni,10754,4.48,Music,1,"4 min.
 ",Dec 2004,Dec 2004,Unavailable,Original,PG-13,632,https://myanimelist.net/anime/10586/Cafe_de_Oni,An animated music video for Denki Groove's song Cafe de Oni.,Music,,,,,,,,4,11
254,Hanoka Recap,10755,4.48,Special,1,"10 min.
 ",2006,2006,Unavailable,Unavailable,PG-13,719,https://myanimelist.net/anime/1993/Hanoka_Recap,Recap episode.,Sci-Fi,,,,,,,,10,2
255,Arakure Junichi no Namida,10756,4.47,ONA,1,"1 min.
 ",Aug 2006,Aug 2006,Unavailable,Original,PG ,657,https://myanimelist.net/anime/33282/Arakure_Junichi_no_Namida,An independent production by Takashi Taniguchi.,Comedy,,,,,,,,1,6
256,Osaru no Sankichi: Boukuusen,10757,4.47,Movie,1,"3 min.
 ",1942,1942,Unavailable,Original,G ,863,https://myanimelist.net/anime/6844/Osaru_no_Sankichi__Boukuusen,Monkeys battle polar bears in air combat. Short film from 1942.,Military,,,,,,,,3,11
257,Madonna (Movie),10758,4.46,Movie,1,"4 min.
 ",2005,2005,Unavailable,Original,R,863,https://myanimelist.net/anime/22177/Madonna_Movie,Unavailable,Dementia,,,,,,,,4,1
258,Bishoujo Yuugi Unit Crane Game Girls,10759,4.45,TV,13,4 min. per ep.,Apr 2016,Jun 2016,Spring,Original,PG ,6572,https://myanimelist.net/anime/32906/Bishoujo_Yuugi_Unit_Crane_Game_Girls,"One day, Saya, an agent of the World Space Association, receives a sudden message that says a large number of asteroids are on a collision course with Earth, and it is her mission to stop them. Unfortunately, the only way to save the Earth is by having three people with extraordinary potential demonstrate a new skill on a crane game, which will create a beam of energy able to divert the asteroids. The only three people with enough potential are three high school girls—Asuka, Mirai, and Kyouko. In order to harness their energy, Saya tells them that she has scouted them as idols and has them work at an arcade where she can monitor them. She says to the girls that all successful idols are good at crane games, and that building their skills is their first step in idol training. As the girls learn new crane game techniques, they begin to doubt Saya's intentions but are nonetheless unaware that the fate of the Earth lies in their hands.",Comedy,Game,Space,,,,,,52,169
259,Fashion,10760,4.45,Movie,1,"4 min.
 ",1960,1960,Unavailable,Original,G ,662,https://myanimelist.net/anime/7020/Fashion,Experimental anime from animation pioneer Yoji Kuri from 1960.,Comedy,Dementia,,,,,,,4,9
260,Great Rabbit,10761,4.45,Movie,1,"7 min.
 ",2012,2012,Unavailable,Original,G ,784,https://myanimelist.net/anime/28641/Great_Rabbit,"Once we called the noble, profound and mysterious existence The Great. We have moved with the time, our thought and consciousness has changed. And yet what makes us still keep calling it The Great?",Psychological,,,,,,,,7,34
261,Aruite Mikka!,10762,4.44,Music,1,"2 min.
 ",Dec 1999,Dec 1999,Unavailable,Original,G ,421,https://myanimelist.net/anime/29105/Aruite_Mikka,Short CGI music video by George Tokoro featured on NHK's Minna no Uta program.,Music,Comedy,Kids,,,,,,2,14
262,Mahou no Hiroba,10763,4.44,Music,1,"3 min.
 ",2001,2001,Unavailable,Music,G ,371,https://myanimelist.net/anime/18561/Mahou_no_Hiroba,"Clay animation movie of ""Mahou no Hiroba"" for Nobukazu Takamura featuring Aki Tsuyuko from Nobukazu Takemura Song Book 2001.",Music,Fantasy,,,,,,,3,19
263,6 Angels,10764,4.43,ONA,6,15 min. per ep.,Nov 2001,Jul 2002,Unavailable,Original,R,2891,https://myanimelist.net/anime/2475/6_Angels,"Deep in the deserts of southwestern United States lies ""Neo Purgatory."" Formerly a nuclear waste disposal site, the facility has been turned into a prison for hardened criminals; that is, until the prisoners weaponize the nuclear waste and riot, turning Neo Purgatory into an international disaster. Maki Aoba, Doris Nicholas, Marilyn Moreau, and Naomi Jones make up the ""Guard of Rose,"" an all-female special police task force. Along with stowaway Katherine Hook and multi-purpose robot Link, the Guard of Rose is on patrol investigating rumors of an ""angel"" near Neo Purgatory when their helicopter is shot down. As the crisis within the prison rapidly devolves, the Guard of Rose members might be the only ones who can stop the prisoners before they unleash nuclear armageddon.",Action,Sci-Fi,,,,,,,90,125
264,Aya Hito Shiki to Iu na no Ishi Hata,10765,4.43,ONA,1,"5 min.
 ",2006,2006,Unavailable,Original,G ,459,https://myanimelist.net/anime/29973/Aya_Hito_Shiki_to_Iu_na_no_Ishi_Hata,Short animation by Taro Shinkai.,Dementia,,,,,,,,5,5
265,Issho ni Sleeping: Sleeping with Hinako,10766,4.43,OVA,1,"49 min.
 ",Feb 2010,Feb 2010,Unavailable,Original,PG-13,16493,https://myanimelist.net/anime/7897/Issho_ni_Sleeping__Sleeping_with_Hinako,"Hinako returns to our TV screens, this time showing us how to sleep.",Ecchi,,,,,,,,49,13
266,Kemeko no Love,10767,4.43,Movie,1,"3 min.
 ",1968,1968,Unavailable,Original,PG ,1182,https://myanimelist.net/anime/7030/Kemeko_no_Love,Experimental short film from Yoji Kuri.,Comedy,,,,,,,,3,6
267,An Expression,10768,4.42,Movie,1,"3 min.
 ",1935,1935,Unavailable,Original,G ,579,https://myanimelist.net/anime/35402/An_Expression,"Symbolized an urban man with a triangle figure, a country woman with a circle, and represented the encounter between the two by movement. Director Shigenji Ogino tried to naturally color the movie via the kinema color technique. Due to being an early work, the technique isn't smooth. Because of this the film has a photosensitive epileptic seizure warning as there are high frequency flashes of red and green frames for the duration of the entire film. Please be careful while viewing.",Dementia,,,,,,,,3,81
268,Shunga,10769,4.42,Movie,1,"4 min.
 ",2009,2009,Unavailable,Original,R,641,https://myanimelist.net/anime/22181/Shunga,Unavailable,Dementia,,,,,,,,4,1
