,Title,Rank,Score,Medium,Number of Episodes,Episode Length,Start Date,End Date,Premier Season,Source Material,Age Rating,Number of Members,URLS,Synopses,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Total Minutes,Synopsis Length
113,Sanrio Danshi,5314,6.61,TV,12,24 min. per ep.,Jan 2018,Mar 2018,Winter,Original,PG-13,37536,https://myanimelist.net/anime/34839/Sanrio_Danshi,"Kouta Hasegawa is a completely normal high school student who likes his Pompompurin stuffed animal, a Sanrio character modelled after a Golden Retriever, which his grandmother gave him when he was young. However, an incident in which other kids accused him of being girly for liking Sanrio characters made him ashamed of his attachment to Pompompurin. Through a series of unexpected events, Kouta ends up meeting others at school who also like Sanrio characters—Yuu Mizuno, a flashy boy who is popular with girls; Shunsuke Yoshino, a member of the soccer team; Ryou Nishimiya, an underclassman who is a library assistant; and Seiichirou Minamoto, the student council president. Through his new friends, Kouta learns that there is no need to be embarrassed for liking Sanrio characters; and together, they aim to create a play for the cultural festival in order to transform his normal school life into a sparkly one.",Slice of Life,Drama,School,,,,,,288,149
114,Sengoku Musou SP: Sanada no Shou,5315,6.61,Special,1,"45 min.
 ",Mar 2014,Mar 2014,Unavailable,Game,PG-13,5157,https://myanimelist.net/anime/21497/Sengoku_Musou_SP__Sanada_no_Shou,"The story of the special revolves around the Sanada brothers in their youth. Nobuyuki and Yukimura swear to each other to protect the influential Sanada clan. However, thinking of how to best continue the Sanada clan, Yukimura makes a decision, and meets with Mitsunari Ishida and Naoe Kanetsugu at the location he arrived at. On the other hand, his elder brother Nobuyuki must worry about the selfish demands made by the Tokugawa clan.",Action,Historical,Samurai,,,,,,45,73
115,Spider Riders: Oracle no Yuusha-tachi,5316,6.61,TV,26,23 min. per ep.,Apr 2006,Sep 2006,Spring,Novel,PG ,6769,https://myanimelist.net/anime/2619/Spider_Riders__Oracle_no_Yuusha-tachi,"Underneath the surface of the Earth lies the Inner World, a realm where a war rages on between intelligent spiders and the invading humanoid insects known as Insectors. However, the spiders are not alone, as ""Spider Riders""—humans from the Outer World, known as Earthens in the Inner World, that are chosen by the Oracle—fight alongside them. Filled with wondrous tales of a mysterious pyramid and entrusted with his grandfather's journal, a young boy called Hunter Steele sets out on an exploration. There, his destined meeting with the Oracle occurs, and he is transported into the Inner World as a Spider Rider. Finding himself lost and confused in the middle of a forest, Hunter crosses paths with a giant spider named Shadow. Although reluctant, Shadow agrees to fight by his side. He then meets Corona—a skilled Spider Hunter and kind girl with a penchant for normal life. She shows him the ropes of being a Spider Rider, and educates him about the fate of the Inner World if the Insectors continue their tyrannical reign. Thus begins the story of Hunter Steele, a heedless young boy on a quest to save the Inner World. But his task of retrieving the four Oracle Keys holding the Oracle's true power will lead him to an ultimate clash against Mantid, leader of the Insectors.",Action,Adventure,Mecha,,,,,,598,219
116,Star Ocean EX,5317,6.61,TV,26,22 min. per ep.,Apr 2001,Sep 2001,Spring,Game,PG-13,11283,https://myanimelist.net/anime/1005/Star_Ocean_EX,"Claude C. Kenni, a crewmember on the spaceship Calnus and son of the commander of the ship, is transported to Expel, a backwards planet with swords and magic. He teams up with Rena Lanford, who thinks he is the legendary Warrior of Light, and other characters to investigate the Sorcery Globe, a meteorite that has been causing problems all over the world.",Adventure,Fantasy,Sci-Fi,Shounen,,,,,572,62
117,Teekyuu,5318,6.61,TV,12,2 min. per ep.,Oct 2012,Dec 2012,Fall,Manga,PG-13,53934,https://myanimelist.net/anime/15125/Teekyuu,"Teekyuu is all about the wacky antics of four schoolgirls—Kanae Shinjou gets bored easily and often breaks the laws of physics to get what she wants; Nasuno Takamiya is incredibly rich and knows how to make things go her way; Marimo Bandou would probably get arrested from her actions like eating panties or kidnapping children; and Yuri Oshimoto, their ordinary junior, rounds out the eccentric bunch that forms the sole members of their school's tennis club. Despite their interest in learning the sport, the older girls prefer messing around, while Yuri, being the only one who actually knows how to play and the most mature in spite of being younger, has to deal with her seniors' out of control behavior. When these four girls come together, insanity ensues in this lightning-paced comedy about a tennis club that doesn't really play tennis.",Comedy,School,Shounen,Sports,,,,,24,141
118,Teekyuu 9,5319,6.61,TV,12,2 min. per ep.,Jul 2017,Sep 2017,Summer,Manga,PG-13,10553,https://myanimelist.net/anime/35370/Teekyuu_9,Ninth season of the Teekyuu anime series.,Comedy,Sports,,,,,,,24,7
119,The King of Fighters: Destiny,5320,6.61,ONA,24,16 min. per ep.,Aug 2017,Jan 2018,Unavailable,Game,PG-13,3428,https://myanimelist.net/anime/35204/The_King_of_Fighters__Destiny,CG anime adaptation of The King of Fighters fighting game franchise.,Action,Adventure,Drama,Martial Arts,Romance,,,,384,11
120,Tsuyokiss,5321,6.61,TV,12,24 min. per ep.,Jul 2006,Sep 2006,Summer,Visual novel,PG-13,17323,https://myanimelist.net/anime/1198/Tsuyokiss,"Sunao Konoe starts her first day at a new school and is surprised to find that there is no drama club. So, she decides to make one of her own. But between a childhood friend showing up, the crazy student body, and the arrogant student council president blocking her at every turn, it seems that actually creating the club is going to be more difficult than she thought.",Comedy,Romance,School,Slice of Life,,,,,288,68
121,Uchuu Kyoudai: Itten no Hikari,5322,6.61,Movie,1,"38 min.
 ",Jul 2012,Jul 2012,Unavailable,Unavailable,PG-13,4546,https://myanimelist.net/anime/17573/Uchuu_Kyoudai__Itten_no_Hikari,"The anime's original story features Mutta and Hibito during one summer when they were children. During the summer when Mutta and Hibito made their promise to go to space, they met a young girl who also had a wish.",Comedy,Sci-Fi,Seinen,Slice of Life,,,,,38,39
122,Yamato yo Towa ni,5323,6.61,Movie,1,2 hr. 30 min.,Aug 1980,Aug 1980,Unavailable,Original,PG-13,2619,https://myanimelist.net/anime/3069/Yamato_yo_Towa_ni,The Black Nebula Empire attacks Earth and threatens to blow up the planet with a bomb they placed on Earth if counter attacked. Earths hopes rest on the Yamato crew as they go to the Black Nebula Planet and try to find a way to difuse the bomb before it's too late.,Action,Military,Sci-Fi,Adventure,Space,Drama,,,150,52
123,Yoroiden Samurai Troopers Gaiden,5324,6.61,OVA,2,25 min. per ep.,Apr 1989,Jun 1989,Unavailable,Unavailable,PG-13,2404,https://myanimelist.net/anime/1265/Yoroiden_Samurai_Troopers_Gaiden,"Although Talpa has been defeated, the Warriors don't get much of a break. As they celebrate Ryo's birthday party, the news tells them of a strange killer in samurai armor wreaking havoc in New York. And the armor looks very familiar. Now, they will have to battle the ancient sorcerer Shikaisen for Sage's life!",Adventure,Fantasy,Samurai,Shounen,,,,,50,54
124,Ninja Slayer From Animation,5325,6.6,ONA,26,12 min. per ep.,Apr 2015,Oct 2015,Unavailable,Novel,R,37477,https://myanimelist.net/anime/23605/Ninja_Slayer_From_Animation,"Ninja... Ninja were... merciless demi-gods, ruling Japan with their karate in the age of ninja tranquillity. But, ""some"" committed a forbidden form of hara-kiri storing their souls at Kinkaku Temple for future resurrection. Their lost history was falsified and concealed and the truth about these ninja was long forgotten. Now, in the future where the universalization of cybernetic technology and electronic networks are God, suddenly, sinister ninja souls, resurrected from thousands of years past are unleashed on the dark shadows of Neo-Saitama. Fujikido Kenji, is a salaryman whose wife and child were killed in a ninja turf war. In a brush with his own death, Fujikido is possessed by an enigmatic ninja soul. Fujikido cheats death and becomes Ninja Slayer. A Grim Reaper destined to kill evil ninja, committed to a personal war of vengeance. Set in the dystopian underworld of Neo-Saitama, Ninja Slayer takes on Soukai Syndicate ninjas in mortal combat. (Source:",Action,,,,,,,,312,153
125,Papuwa,5326,6.6,TV,26,25 min. per ep.,Sep 2003,Mar 2004,Fall,Manga,R,1415,https://myanimelist.net/anime/2501/Papuwa,"In this sequel series, events continue four years after they left off in the first series. Papuwa-kun is a mysterious boy who lives on a new tropical island full of the same crazy creatures. Along with his maid, Liquid, and his new amnestic friend, ""Rotarou"", they lead nonsensical adventures as they try to evade and confuse the Ganma Army, Special Corps, and even the Shinsengumi from discovering Rotarou's real secret and taking him away.",Adventure,Comedy,,,,,,,650,74
126,Pastel Life,5327,6.6,TV,6,3 min. per ep.,May 2018,Jun 2018,Spring,Unavailable,PG-13,4560,https://myanimelist.net/anime/37778/Pastel_Life,"A Nico Live broadcast of BanG Dream! franchise on Monday has announced a spin-off anime featuring one of the units in the franchise, Pastel*Palettes. Titled Pastel Life, the slice-of-life series is yet to announce its type and broadcast details. (Source:",Music,Slice of Life,,,,,,,18,40
127,Phantom: Requiem for the Phantom Picture Drama,5328,6.6,Special,9,6 min. per ep.,Jul 2009,Feb 2010,Unavailable,Visual novel,R,6570,https://myanimelist.net/anime/8705/Phantom__Requiem_for_the_Phantom_Picture_Drama,DVD/BD specials.,Comedy,,,,,,,,54,2
128,Pingu in the City,5329,6.6,TV,26,7 min. per ep.,Oct 2017,Mar 2018,Fall,Other,G ,36599,https://myanimelist.net/anime/36259/Pingu_in_the_City,"Pingu and his family move from their small village to the big city; in which there are many people with many different occupations. The ever-curious Pingu tries to join them at their jobs, but his mischievous side gets the better of him and he ends up messing things up.",Comedy,Kids,Slice of Life,,,,,,182,49
129,"Pokemon Fushigi no Dungeon: Toki no Tankentai, Yami no Tankentai",5330,6.6,Special,1,"21 min.
 ",Sep 2007,Sep 2007,Unavailable,Game,PG ,9656,https://myanimelist.net/anime/5256/Pokemon_Fushigi_no_Dungeon__Toki_no_Tankentai_Yami_no_Tankentai,"In a world where only Pokémon live, one Hikozaru wishes to be part of Pukurin Guild—a large area where Exploration Teams gather and work. Intimidated by the apparent strength of the guild members and the guild's security, Hikozaru runs away, stumbling over an unconscious Pochama in the middle of his escape. The Pochama wakes up and is immediately shocked by both a talking Hikozaru as well as his own appearance—because Pochama knows that he is actually a human! With Pochama having no memories aside from previously being human (as well as countless questions about his new body), Hikozaru suggests that he ask the leader of Pukurin Guild for help. While Guildmaster Pukurin may not have answers about Pochama's transformation, he decides to make Pochama and Hikozaru an Exploration Team, which HIkozaru calls Pokédans. For their first mission, the duo must get a Gabite Scale by going to Labyrinth Cave with Kimawari!",Adventure,Fantasy,,,,,,,21,151
130,Rolling☆Girls,5331,6.6,TV,12,24 min. per ep.,Jan 2015,Mar 2015,Winter,Original,PG-13,76027,https://myanimelist.net/anime/25867/Rolling☆Girls,"In a dystopian future where Japan's political organization has crumbled after the Great Tokyo War, Japan is broken up into 10 independent nations, with each nation controlled by a gang led by a ""Best,"" a human-proclaimed prophet with destructive superpowers. Nozomi Moritomo is a ""Rest""—a normal girl that has just started out as a rookie in the local gang. She wants to help the Best Masami Utoku, her childhood friend and role model, in the ongoing territorial dispute. When Masami becomes severely injured and unable to fight, Nozomi decides to go on a mission to complete the requests sent to Masami from all over Japan. Along the way, she meets Yukina Kosaka, a shy girl with no sense of direction; Ai Hibiki, an upbeat girl who loves eating; and Chiaya Misono, a quiet and mysterious girl that wears a gas mask. Together, the four girls travel all over the country on their motorcycles while getting involved in territorial wars, disagreements, and even suspicious conspiracies.",Action,Adventure,Slice of Life,Super Power,,,,,288,164
131,Ryuugajou Nanana no Maizoukin,5332,6.6,Special,1,"2 min.
 ",Dec 2011,Dec 2011,Unavailable,Light novel,PG-13,11765,https://myanimelist.net/anime/13517/Ryuugajou_Nanana_no_Maizoukin,"Promotion video for Kazuma Ootorino's light novel Ryuugajou Nanana no Maizoukin, commissioned by Enterbrain after Ootorino won the 13th Entertainment Awards Grand Prize (Entame Taishou) from the publisher's light novel department.",Comedy,Supernatural,,,,,,,2,31
132,Sengoku Otome: Momoiro Paradox,5333,6.6,TV,13,23 min. per ep.,Apr 2011,Jun 2011,Spring,Game,R,39205,https://myanimelist.net/anime/10308/Sengoku_Otome__Momoiro_Paradox,"Yoshino Hide is an average girl who always seems to find trouble wherever she goes. One day Yoshino visits a local shrine to pray in order to pass her upcoming test. However, Yoshino sees a blue light coming from inside the Shrine and looks inside to find a mysterious person performing a magic spell. In a stroke of bad luck, Yoshino trips on a small bell and crashes into the shrine, prompting the stranger to catch her. Upon Yoshino's capture, the magic spell spirals out of control and sends Yoshino back in time to the Sengoku Era. Yoshino then encounters Akechi Mitsuhide and Oda Nobunaga. But unlike what really happened during the era, Hideyoshino realizes that everyone in the world is female. She then decides to help Oda Nobunaga find the Crimson Armor which is said to allow the person wearing the armor to conquer all of Japan.",Action,Comedy,Historical,Samurai,Sci-Fi,Super Power,,,299,148
133,Shin Koihime†Musou: Live Revolution,5334,6.6,OVA,1,"22 min.
 ",Mar 2010,Mar 2010,Unavailable,Visual novel,PG-13,4698,https://myanimelist.net/anime/8635/Shin_Koihime†Musou__Live_Revolution,Shin Koihime†Musou characters sing theme songs on stage at a live event.,Ecchi,Music,,,,,,,22,12
134,Soreyuke! Uchuu Senkan Yamamoto Yohko (1999),5335,6.6,TV,26,25 min. per ep.,Apr 1999,Sep 1999,Spring,Novel,PG-13,4084,https://myanimelist.net/anime/1618/Soreyuke_Uchuu_Senkan_Yamamoto_Yohko_1999,"In the year 2999: humanity is split into two factions, Terra and Ness, in a war fought by starships. One of the foremost of the pilots is the cocky teenager Yamamoto Yohko, and during one of her missions, she and her crew are sucked into a temporal anomaly (a la Star Trek) that sends her back to our time. Amnesiac, she only thinks of herself as a typical high school student - until a course of events sends her back to her ship the TA-29, with her newfound friends fighting at her side in a war that looks suspiciously like an arcade game (complete with 100 yen ignition costs!).",Action,Sci-Fi,Adventure,,,,,,650,109
135,Spirit of Wonder: China-san Tanpenshuu,5336,6.6,Special,3,12 min. per ep.,Jan 2001,Jan 2004,Unavailable,Unavailable,R,1666,https://myanimelist.net/anime/6245/Spirit_of_Wonder__China-san_Tanpenshuu,Three short stories featuring China-san.,Comedy,Sci-Fi,Seinen,,,,,,36,5
136,Spirit of Wonder: Shounen Kagaku Club,5337,6.6,OVA,2,30 min. per ep.,Jan 2001,Jul 2001,Unavailable,Unavailable,PG-13,2966,https://myanimelist.net/anime/2420/Spirit_of_Wonder__Shounen_Kagaku_Club,"The now 50 year old Scientific Boys Club decides to built a ship that sails to Mars on the ""Ethereal Current"" - a thesis of the wife of a club member which claims that the universe is flooded with Ethereal energy. On this stream they travel to Mars in order to prove an old theory about channels on Mars built by Martians, but there is no life. Many years later, when both theories are considered to be nonsense, a Mars expedition discovers a stone with the inscription ""Scientific Boys Club 1954"".",Drama,Sci-Fi,Seinen,Space,,,,,60,91
137,Sword Art Online: Sword Art Offline - Extra Edition,5338,6.6,Special,1,"13 min.
 ",Apr 2014,Apr 2014,Unavailable,Unavailable,PG-13,51519,https://myanimelist.net/anime/21879/Sword_Art_Online__Sword_Art_Offline_-_Extra_Edition,Extra episode of Sword Art Offline included in the Sword Art Online: Extra Edition Blu-ray and DVD.,Comedy,,,,,,,,13,17
138,To Heart,5339,6.6,TV,13,25 min. per ep.,Apr 1999,Jun 1999,Spring,Visual novel,PG ,22257,https://myanimelist.net/anime/472/To_Heart,"For as long as Akari can remember, she and Hiroyuki have always been friends. But with time, everything changes, and her feelings have turned into something more. As a new semester of high school begins, will the two childhood friends come closer together or drift further apart? Join Hiroyuki, Akari and all their friends—the bubbly Shiho, the quiet Serika, the lovely Kotone, and more—in this heartwarming tale of love, relationships and friendship!",Drama,Harem,Romance,School,Slice of Life,,,,325,72
139,Tottoko Hamtarou OVA 1: Hamtaro no Otanjoubi - Mama wo Tasunete Sanzen Techi Techi,5340,6.6,OVA,1,"44 min.
 ",Nov 2002,Nov 2002,Unavailable,Unavailable,G ,1739,https://myanimelist.net/anime/2399/Tottoko_Hamtarou_OVA_1__Hamtaro_no_Otanjoubi_-_Mama_wo_Tasunete_Sanzen_Techi_Techi,"Laura tells Hamtaro where he came from yet Laura thinks it is not true, just in time for his birthday, Hamtaro sets out with Boss and Oxnard to visit his mother to see if what Laura said is true, while the other Ham-Hams set up a surprise birthday party for him.",Adventure,Comedy,Kids,,,,,,44,51
140,Wooser no Sono Higurashi: Mugen-hen,5341,6.6,TV,13,7 min. per ep.,Jul 2015,Sep 2015,Summer,Web manga,G ,4130,https://myanimelist.net/anime/29017/Wooser_no_Sono_Higurashi__Mugen-hen,"The zany and cute-but-crude Wooser returns for another season in Wooser’s Hand-to-Mouth Life: Phantasmagoric Arc! Wooser is a creature that only cares about three things in life: meat, money, and girls. (Source:",Comedy,Fantasy,Slice of Life,,,,,,91,32
141,.hack//Tasogare no Udewa Densetsu,5342,6.6,TV,12,23 min. per ep.,Jan 2003,Mar 2003,Winter,Manga,PG-13,59836,https://myanimelist.net/anime/298/hack__Tasogare_no_Udewa_Densetsu,"Winning the legendary characters ""Kite"" and ""Black Rose"" from an event held by the creators of the MMORPG ""The World,"" Shugo and his twin sister Rena steps into ""The World."" Together they completed events and quests, along with their new friends Ouka, Mirelle, Hotaru, and Sanjuro. Soon after, mysterious monsters appeared, and death by these monsters caused players to slip into a coma in the real world. Only Shugo and Rena can solve this problem, but why are they being targeted, and what secrets is the game hiding?",Adventure,Comedy,Fantasy,Game,Sci-Fi,Shounen,,,276,88
142,3 Choume no Tama: Uchi no Tama Shirimasen ka?,5343,6.6,TV,36,23 min. per ep.,Nov 1988,Sep 1994,Fall,Unavailable,G ,1932,https://myanimelist.net/anime/2467/3_Choume_no_Tama__Uchi_no_Tama_Shirimasen_ka,"The characters are Tama, Momo, Wocket, Tiggle, Rockney, Pimmy, Bupkus, Bengpu, and Chopin. There is no consistent plot. Tama and his friends just have little, family friendly, adventures every episode. The only consistency is when a new friend is made one episode and flash backs.",Adventure,,,,,,,,828,45
143,8-gatsu no Symphony: Shibuya 2002-2003,5344,6.6,Movie,1,1 hr. 52 min.,Aug 2009,Aug 2009,Unavailable,Book,PG-13,1249,https://myanimelist.net/anime/6670/8-gatsu_no_Symphony__Shibuya_2002-2003,"Based on the autobiography of the singer Kawashima Ai. The name of the book is ""Saigo no Kotoba"" (""The Last Words"") and it follows Kawashima Ai's life after her mother's death. The story chronicles her journey to make her dream come true to be a singer and, among other things, how she used to perform for free on Tokyo's streets.",Music,,,,,,,,112,60
144,Akai Koudan Zillion,5345,6.6,TV,31,24 min. per ep.,Apr 1987,Dec 1987,Spring,Game,PG-13,4047,https://myanimelist.net/anime/2688/Akai_Koudan_Zillion,"The story takes place on the planet Maris in the year 2387. Around this time, the Nozas started to genocidally kill all humans in order to lay eggs and reproduce on the planet. Three mysterious guns dubbed the ""Zillion Weapon System"" appear and three teens (JJ, Champ, and Apple) are chosen to wield them as the White Knights in order to fight back against the Nozas.",Action,Military,Sci-Fi,Adventure,,,,,744,66
145,Akuma no Kimuraa-hen,5346,6.6,Special,1,"30 sec.
 ",Apr 2018 -,,Unavailable,Original,G ,1435,https://myanimelist.net/anime/37706/Akuma_no_Kimuraa-hen,"A cup noodle commercials where [Kuro] Hiyoko-chan, the mascot of the ""Chikin Ramen"" line from Nissin, uses black magic to summon devil powers to turn into [Kuro] Hiyoko Akuma. This year marked the 60th anniversary of instant noodles' invention.",Parody,Demons,,,,,,,0,39
